# mnemonic opcode [argbytes]
NOP	0
LXI B	1	2
STAX B	2
INX B	3
INR B	4
DCR B	5
MVI B	6	1
RLC	7

#NOP	010
DAD B	011
LDAX B	012
DCX B	013
INR C	014
DCR C	015
MVI C	016	1
RRC	017

#NOP	020
LXI D	021	2
STAX D	022
INX D	023
INR D	024
DCR D	025
MVI D	026	1
RAL	027

#NOP	030
DAD D	031
LDAX D	032
DCX D	033
INR E	034
DCR E	035
MVI E	036	1
RAR	037

#NOP	040
LXI H	041	2
SHLD	042	2
INX H	043
INR H	044
DCR H	045
MVI H	046	1
DAA	047

#NOP	050
DAD H	051
LHLD	052	2
DCX H	053
INR L	054
DCR L	055
MVI L	056	1
CMA	057

#NOP	060
LXI SP	061	2
STA	062	2
INX SP	063
INR M	064
DCR M	065
MVI M	066	1
STC	067

#NOP	070
DAD SP	071
LDA	072	2
DCX SP	073
INR A	074
DCR A	075
MVI A	076	1
CMC	077

MOV B,B	0100
MOV B,C	0101
MOV B,D	0102
MOV B,E	0103
MOV B,H	0104
MOV B,L	0105
MOV B,M	0106
MOV B,A	0107

MOV C,B	0110
MOV C,C	0111
MOV C,D	0112
MOV C,E	0113
MOV C,H	0114
MOV C,L	0115
MOV C,M	0116
MOV C,A	0117

MOV D,B	0120
MOV D,C	0121
MOV D,D	0122
MOV D,E	0123
MOV D,H	0124
MOV D,L	0125
MOV D,M	0126
MOV D,A	0127

MOV E,B	0130
MOV E,C	0131
MOV E,D	0132
MOV E,E	0133
MOV E,H	0134
MOV E,L	0135
MOV E,M	0136
MOV E,A	0137

MOV H,B	0140
MOV H,C	0141
MOV H,D	0142
MOV H,E	0143
MOV H,H	0144
MOV H,L	0145
MOV H,M	0146
MOV H,A	0147

MOV L,B	0150
MOV L,C	0151
MOV L,D	0152
MOV L,E	0153
MOV L,H	0154
MOV L,L	0155
MOV L,M	0156
MOV L,A	0157

MOV M,B	0160
MOV M,C	0161
MOV M,D	0162
MOV M,E	0163
MOV M,H	0164
MOV M,L	0165
HLT	0166
MOV M,A	0167

MOV A,B	0170
MOV A,C	0171
MOV A,D	0172
MOV A,E	0173
MOV A,H	0174
MOV A,L	0175
MOV A,M	0176
MOV A,A	0177

ADD B	0200
ADD C	0201
ADD D	0202
ADD E	0203
ADD H	0204
ADD L	0205
ADD M	0206
ADD A	0207

ADC B	0210
ADC C	0211
ADC D	0212
ADC E	0213
ADC H	0214
ADC L	0215
ADC M	0216
ADC A	0217

SUB B	0220
SUB C	0221
SUB D	0222
SUB E	0223
SUB H	0224
SUB L	0225
SUB M	0226
SUB A	0227

SBB B	0230
SBB C	0231
SBB D	0232
SBB E	0233
SBB H	0234
SBB L	0235
SBB M	0236
SBB A	0237

ANA B	0240
ANA C	0241
ANA D	0242
ANA E	0243
ANA H	0244
ANA L	0245
ANA M	0246
ANA A	0247

XRA B	0250
XRA C	0251
XRA D	0252
XRA E	0253
XRA H	0254
XRA L	0255
XRA M	0256
XRA A	0257

ORA B	0260
ORA C	0261
ORA D	0262
ORA E	0263
ORA H	0264
ORA L	0265
ORA M	0266
ORA A	0267

CMP B	0270
CMP C	0271
CMP D	0272
CMP E	0273
CMP H	0274
CMP L	0275
CMP M	0276
CMP A	0277

RNZ	0300
POP B	0301
JNZ	0302	2
JMP	0303	2
CNZ	0304	2
PUSH B	0305
ADI	0306	1
RST 0	0307

RZ	0310
RET	0311
JZ	0312	2
#JMP	0313	2
CZ	0314	2
CALL	0315	2
ACI	0316	1
RST 1	0317

RNC	0320
POP D	0321
JNC	0322	2
OUT	0323	1
CNC	0324	2
PUSH D	0325
SUI	0326	1
RST 2	0327

RC	0330
#RET	0331
JC	0332	2
IN	0333	1
CC	0334	2
#CALL	0335	2
SBI	0336	1
RST 3	0337

RPO	0340
POP H	0341
JPO	0342	2
XTHL	0343
CPO	0344	2
PUSH H	0345
ANI	0346	1
RST 4	0347

RPE	0350
PCHL	0351
JPE	0352	2
XCHG	0353
CPE	0354	2
#CALL	0355	2
XRI	0356	1
RST 5	0357

RP	0360
POP PSW	0361
JP	0362	2
DI	0363
CP	0364	2
PUSH PSW	0365
ORI	0366	1
RST 6	0307

RM	0370
SPHL	0371
JM	0372	2
EI	0373
CM	0374	2
#CALL	0375	2
CPI	0376	1
RST 7	0377
